episode,text
1,"[The episode starts with Pen sleeping under a tree and a meditating Jake floating. Pen wakes up and rushes to Jake.]
"
1,"Pen:  Jake! Jake! Good mornin'! Whatcha doin', buddy?
"
1,"Jake:  Meditating.
"
1,"Pen:  What are you meditating about, dude?
"
1,"Jake:  Wait, dude. I'm connecting to the internet with my mind.
"
1,"[Dial-up connection sound]
"
1,"Pen:  Ha ha! Beep boop boop boop beep boop.
"
1,"[Jake descends to the ground.]
"
1,"Jake:  Check it out—I downloaded a little dance. [Begins to dance]
"
1,"Pen:  Huh, I like it. Yeeoow! [Starts to dance, too]
"
1,"[Continue dancing until Lady Rainicorn comes flying by]
"
1,"Pen:  Whoa! Algebraic!
"
1,"Jake:  Look! It's Princess Bubblegum's rainicorn! She looked like she was crying.
"
1,"Pen:  Well, let's go cheer her up. To the max!
"
1,"Jake:  Yeah! Yeah, let's do it!
"
1,"[They begin to run.]
"
1,"Pen:  Woo hoo!
"
1,"Jake:  [Grows huge] Rrrrroar!
"
1,"[Chase after Lady Rainicorn]
"
1,"Lady Raincorn:  [Crying]
"
1,"Pen:  Hey! What's wrong!?
"
1,"Lady Rainicorn:  [Still crying]
"
1,"Pen:  Wanna hear a funny joke!?
"
1,"Lady Rainicorn:  [Cries even louder]
"
1,"Pen:  Knock-knock!
"
1,"Lady Rainicorn:  [Cries frantically]
"
1,"Pen:  Who's there?
"
1,"Lady Rainicorn:  [Cries even more]
"
1,"Pen:  Woowoowoowoowoowoowoowoowoowoo, who?
"
1,"Lady Rainicorn:  [Cries and flies away]
"
1,"Pen:  Man, that wasn't very funny.
"
1,"Jake:  She's flying into the Ice Kingdom.
"
1,"Pen:  Aw, the Ice King is an oxymoron.
"
1,"Jake:  Seriously... but what are we gonna do?
"
1,"Pen:  Survey the situation.
"
1,"[Pulls out binoculars and looks at Ice King's castle. Ice King is shooting ice lightning at Lady Rainicorn. Pen sighs.]
"
1,"Jake:  What's up?
"
1,"Pen:  The Ice King is throwing frozen lightning bolts at the Rainicorn.
"
1,"Jake:  [Puts on the binoculars] That guy is a total patoot.
"
1,"Pen:  He's like 50 patoots!
"
1,"[Ice King continues to shoot frozen lightning at Lady Rainicorn; Princess Bubblegum is behind him.]
"
1,"Jake:  Whoa! And there's Princess Bubblegum!
"
1,"Pen:  [sigh] The Ice King is always stealing princesses. We're going in turbo time! [puts on a sweater] You want your booties?
"
1,"Jake:  Yes, please. [Jumps in the air] Howop! [Booties are thrown up into Jake's feet and he comes down] Let's do it!
"
1,"Pen:  What time is it?
"
1,"Pen & Jake:  Adventure time!
"
1,"[Jump into the Ice Kingdom]
"
1,"Pen:  Penguins!
"
1,"[Fall into a horde of penguins and use them to skate down a mountain]
"
1,"Pen:  Mathematical!
"
1,"Jake:  That was totally math!
"
1,"Pen:  Rhombus! Iceclops!
"
1,"Iceclops:  Did somebody say my name?
"
1,"[Pen and Jake scream and jump in a ditch.]
"
1,"Pen:  That was close!
"
1,"Jake:  Oh, my goodness!
"
1,"[Pen grabs snow, turns it into snowballs and has Jake carry it.]
"
1,"Pen:  Let's rock and roll!
"
1,"Iceclops:  [Roars]
"
1,"Pen:  Ice to meet you! [Throws snowballs at it]
"
1,"Iceclops:  Hey, cut it out!
"
1,"Pen:  Snow Golem!
"
1,"Snow Golem:  [Baby sounds]
"
1,"[Pen throws snowballs in its eyes and it cries.]
"
1,"Pen:  Elemental!
"
1,"Fire Elemental:  I'm lost. Can you direct me towards the sun?
"
1,"Pen:  That way.
"
1,"Fire Elemental:  What? Oh, geez, duh! Thanks.
"
1,"Pen:  Snow problem! [Throw snowballs at him]
"
1,"Fire Elemental:  [moans] Oh, real nice! How old are you?
"
1,"Pen:  I'm 12 years old!
"
1,"Jake:  I'm 28!
"
1,"[Ice King cackles.]
"
1,"Pen:  Hey, Ice King! Stop it!
"
